City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Umm Kaddadah,SD,2022-06-16 04:19:38,13.6017,26.6876,84.2,29,6,5.03
68,Pevek,RU,2022-06-16 04:19:38,69.7008,170.3133,35.31,80,16,7.7
69,Hermanus,ZA,2022-06-16 04:19:39,-34.4187,19.2345,44.8,72,65,7.87
70,Laje,BR,2022-06-16 04:19:39,-10.1833,-40.9667,64.06,80,58,9.91
71,La Ronge,CA,2022-06-16 04:19:40,55.1001,-105.2842,59.25,77,75,5.75
72,Hervey Bay,AU,2022-06-16 04:19:40,-25.2986,152.8535,75.02,60,8,8.99
73,Victoria,HK,2022-06-16 04:16:33,22.2855,114.1577,87.85,80,100,13.0
74,Isangel,VU,2022-06-16 04:19:41,-19.55,169.2667,79.14,79,7,15.57
75,Atuona,PF,2022-06-16 04:19:41,-9.8,-139.0333,77.88,69,68,19.24
76,Hasaki,JP,2022-06-16 04:19:42,35.7333,140.8333,75.29,82,100,9.89
77,Norman Wells,CA,2022-06-16 04:19:43,65.282,-126.8329,60.84,48,40,2.3
78,Saint-Augustin,CA,2022-06-16 04:19:43,51.226,-58.6502,49.91,80,11,5.66
79,Xiongzhou,CN,2022-06-16 04:19:44,25.1167,114.3,77.63,86,100,1.77
80,Peachland,CA,2022-06-16 04:18:24,49.7665,-119.7357,67.12,67,100,3.2
81,Anadyr,RU,2022-06-16 04:19:45,64.75,177.4833,57.7,62,40,15.66
82,Havoysund,NO,2022-06-16 04:19:45,70.9963,24.6622,39.43,85,100,16.33
83,Padang,ID,2022-06-16 04:19:45,-0.9492,100.3543,84.25,63,73,4.97
84,Oytal,KZ,2022-06-16 04:19:46,42.9057,73.2697,79.54,39,55,4.34
85,Tamiahua,MX,2022-06-16 04:19:46,21.2667,-97.45,79.75,83,99,11.9
86,Hohhot,CN,2022-06-16 04:19:47,40.8106,111.6522,89.89,18,0,6.71
87,Kargasok,RU,2022-06-16 04:19:47,59.0556,80.8572,55.0,96,100,9.84
88,Fort Nelson,CA,2022-06-16 04:20:48,58.8053,-122.7002,67.59,40,75,3.44
89,Moron,AR,2022-06-16 04:20:48,-34.6534,-58.6198,55.96,95,72,1.14
90,Shirokiy,RU,2022-06-16 04:20:49,49.758,129.523,71.02,76,86,8.01
91,Oslo,NO,2022-06-16 04:17:06,59.9127,10.7461,57.54,1,100,1.36
92,Ibra,OM,2022-06-16 04:20:50,22.6906,58.5334,86.99,51,13,3.02
93,Cape Town,ZA,2022-06-16 04:20:50,-33.9258,18.4232,55.38,74,0,5.75
94,San Patricio,US,2022-06-16 04:20:51,28.017,-97.5169,83.84,82,99,15.1
95,Taltal,CL,2022-06-16 04:20:52,-25.4,-70.4833,54.09,84,46,1.61
96,Sao Filipe,CV,2022-06-16 04:20:52,14.8961,-24.4956,72.52,86,80,8.61
97,Lavrentiya,RU,2022-06-16 04:20:52,65.5833,-171.0,39.45,94,100,16.13
98,Tubinskiy,RU,2022-06-16 04:20:53,52.8892,58.2225,66.29,63,3,3.27
99,Nishihara,JP,2022-06-16 04:20:53,26.1842,127.7558,76.28,97,100,10.36
100,The Valley,AI,2022-06-16 04:20:54,18.217,-63.0578,82.26,83,100,19.08
101,Kaeo,NZ,2022-06-16 04:20:54,-35.1,173.7833,63.32,71,12,7.23
102,Ahuimanu,US,2022-06-16 04:20:55,21.4447,-157.8378,80.31,76,75,12.66
103,Chokurdakh,RU,2022-06-16 04:20:55,70.6333,147.9167,69.08,23,91,7.25
104,Port-Cartier,CA,2022-06-16 04:20:56,50.0334,-66.8654,65.88,75,77,5.21
105,Carnarvon,AU,2022-06-16 04:20:56,-24.8667,113.6333,74.03,74,94,4.18
106,Daru,PG,2022-06-16 04:20:57,-9.0763,143.2092,81.01,87,40,13.51
107,Liverpool,GB,2022-06-16 04:20:57,53.4106,-2.9779,53.15,85,50,3.44
108,Nome,US,2022-06-16 04:20:58,64.5011,-165.4064,44.67,81,100,9.22
109,Goroka,PG,2022-06-16 04:20:58,-6.0834,145.3873,74.23,65,35,4.54
110,Coos Bay,US,2022-06-16 04:19:41,43.3665,-124.2179,58.98,91,100,8.05
111,Port Lincoln,AU,2022-06-16 04:16:57,-34.7333,135.8667,62.04,59,4,8.12
